case,step,time_s,version,total_cost,candidate_total_cost,previous_total_cost_current,assignment_count,unassigned_count,high_threat_count,unassigned_high_threat_count,reassignment_event,changed_edges,runtime_ms,decision_state
no_hysteresis,68,34.0,69,16.51562747186092,16.51562747186092,-1.0,7,1,1,0,1,2,0.1639990005060099,accepted_no_hysteresis
no_hysteresis,69,34.5,70,16.49135870364241,16.49135870364241,-1.0,7,1,1,0,0,0,0.15279400031431578,accepted_no_hysteresis
no_hysteresis,70,35.0,71,16.469575683144274,16.469575683144274,-1.0,7,1,1,0,0,0,0.15718399663455784,accepted_no_hysteresis
no_hysteresis,71,35.5,72,16.452087510810095,16.452087510810095,-1.0,7,1,1,0,0,0,0.154460001795087,accepted_no_hysteresis
no_hysteresis,72,36.0,73,16.43507441464521,16.43507441464521,-1.0,7,1,1,0,0,0,0.16064800001913682,accepted_no_hysteresis
no_hysteresis,73,36.5,74,16.424437164441315,16.424437164441315,-1.0,7,1,1,0,0,0,0.1573409972479567,accepted_no_hysteresis
no_hysteresis,74,37.0,75,16.41928691474549,16.41928691474549,-1.0,7,1,1,0,0,0,0.153780998516595,accepted_no_hysteresis
no_hysteresis,75,37.5,76,16.41443349302136,16.41443349302136,-1.0,7,1,1,0,0,0,0.15925800107652321,accepted_no_hysteresis
no_hysteresis,76,38.0,77,16.409897645471165,16.409897645471165,-1.0,7,1,1,0,0,0,0.15830000120331533,accepted_no_hysteresis
no_hysteresis,77,38.5,78,16.405700817083822,16.405700817083822,-1.0,7,1,1,0,0,0,0.1540650009701494,accepted_no_hysteresis
no_hysteresis,78,39.0,79,16.40186509259415,16.40186509259415,-1.0,7,1,1,0,0,0,0.15461700240848586,accepted_no_hysteresis
no_hysteresis,79,39.5,80,16.39841313270986,16.39841313270986,-1.0,7,1,1,0,0,0,0.1536189993203152,accepted_no_hysteresis
no_hysteresis,80,40.0,81,16.264363245949497,16.264363245949497,-1.0,7,1,1,0,1,2,0.17446499987272546,accepted_no_hysteresis
no_hysteresis,81,40.5,82,16.276736191234313,16.276736191234313,-1.0,7,1,0,0,0,0,0.16244600192294456,accepted_no_hysteresis
no_hysteresis,82,41.0,83,16.289150539531274,16.289150539531274,-1.0,7,1,0,0,0,0,0.16449599934276193,accepted_no_hysteresis
no_hysteresis,83,41.5,84,16.29397697734943,16.29397697734943,-1.0,7,1,0,0,1,2,0.16591000166954473,accepted_no_hysteresis
no_hysteresis,84,42.0,85,16.296903472175863,16.296903472175863,-1.0,7,1,0,0,0,0,0.16458599930047058,accepted_no_hysteresis
no_hysteresis,85,42.5,86,16.299886264345155,16.299886264345155,-1.0,7,1,0,0,0,0,0.16179500016733073,accepted_no_hysteresis
no_hysteresis,86,43.0,87,16.30649270821787,16.30649270821787,-1.0,7,1,0,0,0,0,0.16729799972381443,accepted_no_hysteresis
no_hysteresis,87,43.5,88,16.315085844591,16.315085844591,-1.0,7,1,0,0,0,0,0.16109399803099222,accepted_no_hysteresis
no_hysteresis,88,44.0,89,16.323308684976165,16.323308684976165,-1.0,7,1,0,0,0,0,0.1655750020290725,accepted_no_hysteresis
no_hysteresis,89,44.5,90,16.331173408170486,16.331173408170486,-1.0,7,1,0,0,0,0,0.15920999794616364,accepted_no_hysteresis
no_hysteresis,90,45.0,91,16.33869359221969,16.33869359221969,-1.0,7,1,0,0,0,0,0.16064100054791197,accepted_no_hysteresis
no_hysteresis,91,45.5,92,16.348036057834978,16.348036057834978,-1.0,7,1,0,0,0,0,0.16064900046330877,accepted_no_hysteresis
no_hysteresis,92,46.0,93,16.360712488030593,16.360712488030593,-1.0,7,1,0,0,0,0,0.1547840001876466,accepted_no_hysteresis
no_hysteresis,93,46.5,94,16.373560163068333,16.373560163068333,-1.0,7,1,0,0,0,0,0.15546999929938465,accepted_no_hysteresis
no_hysteresis,94,47.0,95,16.386586561168645,16.386586561168645,-1.0,7,1,0,0,0,0,0.16619599773548543,accepted_no_hysteresis
no_hysteresis,95,47.5,96,16.38840926901232,16.38840926901232,-1.0,7,1,0,0,1,5,0.1629860016691964,accepted_no_hysteresis
no_hysteresis,96,48.0,97,16.20252022264417,16.20252022264417,-1.0,8,0,0,0,1,4,0.16585500270593911,accepted_no_hysteresis
no_hysteresis,97,48.5,98,16.18994689244069,16.18994689244069,-1.0,8,0,0,0,0,0,0.16623500050627626,accepted_no_hysteresis
no_hysteresis,98,49.0,99,16.177698271040157,16.177698271040157,-1.0,8,0,0,0,0,0,0.1657069988141302,accepted_no_hysteresis
no_hysteresis,99,49.5,100,16.165821973883332,16.165821973883332,-1.0,8,0,0,0,0,0,0.18205100059276447,accepted_no_hysteresis
no_hysteresis,100,50.0,101,16.147198746769366,16.147198746769366,-1.0,8,0,0,0,1,3,0.17729700266500004,accepted_no_hysteresis
no_hysteresis,101,50.5,102,16.076807420635614,16.076807420635614,-1.0,8,0,0,0,1,2,0.18172199997934513,accepted_no_hysteresis
no_hysteresis,102,51.0,103,16.005910861826102,16.005910861826102,-1.0,8,0,0,0,0,0,0.1730599979055114,accepted_no_hysteresis
no_hysteresis,103,51.5,104,15.936525378049767,15.936525378049767,-1.0,8,0,0,0,0,0,0.1798919984139502,accepted_no_hysteresis
no_hysteresis,104,52.0,105,15.868793222004918,15.868793222004918,-1.0,8,0,0,0,0,0,0.1634069994906895,accepted_no_hysteresis
no_hysteresis,105,52.5,106,15.802853149966175,15.802853149966175,-1.0,8,0,0,0,0,0,0.16723700173315592,accepted_no_hysteresis
no_hysteresis,106,53.0,107,15.740961687467717,15.740961687467717,-1.0,8,0,0,0,0,0,0.1654250008868985,accepted_no_hysteresis
no_hysteresis,107,53.5,108,15.68288570582784,15.68288570582784,-1.0,8,0,1,0,0,0,0.16813499678391963,accepted_no_hysteresis
no_hysteresis,108,54.0,109,16.168251528262275,16.168251528262275,-1.0,7,1,1,0,1,4,0.15753000116092153,accepted_no_hysteresis
no_hysteresis,109,54.5,110,16.106679475496062,16.106679475496062,-1.0,7,1,1,0,0,0,0.1562510005896911,accepted_no_hysteresis
no_hysteresis,110,55.0,111,16.04694945572608,16.04694945572608,-1.0,7,1,1,0,0,0,0.15805300063220784,accepted_no_hysteresis
no_hysteresis,111,55.5,112,15.98917015284705,15.98917015284705,-1.0,7,1,1,0,0,0,0.1619849972485099,accepted_no_hysteresis
no_hysteresis,112,56.0,113,15.933446565207765,15.933446565207765,-1.0,7,1,1,0,0,0,0.1592679982422851,accepted_no_hysteresis
no_hysteresis,113,56.5,114,15.879879783734262,15.879879783734262,-1.0,7,1,1,0,0,0,0.15713199900346808,accepted_no_hysteresis
no_hysteresis,114,57.0,115,15.828566778884637,15.828566778884637,-1.0,7,1,1,0,0,0,0.1618290007172618,accepted_no_hysteresis
no_hysteresis,115,57.5,116,15.779600196927259,15.779600196927259,-1.0,7,1,1,0,0,0,0.15387799794552848,accepted_no_hysteresis
no_hysteresis,116,58.0,117,15.733068166010666,15.733068166010666,-1.0,7,1,1,0,0,0,0.15843399887671694,accepted_no_hysteresis
no_hysteresis,117,58.5,118,15.68905411246851,15.68905411246851,-1.0,7,1,1,0,0,0,0.14975399972172454,accepted_no_hysteresis
no_hysteresis,118,59.0,119,15.6476365877769,15.6476365877769,-1.0,7,1,1,0,0,0,0.15577799786115065,accepted_no_hysteresis
no_hysteresis,119,59.5,120,15.608889106554662,15.608889106554662,-1.0,7,1,1,0,0,0,0.1591809996170923,accepted_no_hysteresis
no_hysteresis,120,60.0,121,15.572879995968986,15.572879995968986,-1.0,7,1,1,0,0,0,0.15384099970106035,accepted_no_hysteresis
no_hysteresis,121,60.5,122,15.539672256880312,15.539672256880312,-1.0,7,1,1,0,0,0,0.15627299944753759,accepted_no_hysteresis
no_hysteresis,122,61.0,123,15.509323437030652,15.509323437030652,-1.0,7,1,1,0,0,0,0.1510500005679205,accepted_no_hysteresis
no_hysteresis,123,61.5,124,15.481885516549312,15.481885516549312,-1.0,7,1,1,0,0,0,0.23073600095813163,accepted_no_hysteresis
no_hysteresis,124,62.0,125,15.457419155869879,15.457419155869879,-1.0,7,1,1,0,0,0,0.16252699788310565,accepted_no_hysteresis
no_hysteresis,125,62.5,126,15.440461430669254,15.440461430669254,-1.0,7,1,1,0,0,0,0.16011999832699075,accepted_no_hysteresis
no_hysteresis,126,63.0,127,15.426947686054348,15.426947686054348,-1.0,7,1,2,0,0,0,0.1571320026414469,accepted_no_hysteresis
no_hysteresis,127,63.5,128,15.41689181112436,15.41689181112436,-1.0,7,1,2,0,0,0,0.1998210027522873,accepted_no_hysteresis
no_hysteresis,128,64.0,129,15.410300547726958,15.410300547726958,-1.0,7,1,2,0,0,0,0.1529969995317515,accepted_no_hysteresis
no_hysteresis,129,64.5,130,15.09217350263757,15.09217350263757,-1.0,7,1,2,0,0,0,0.20618399867089465,accepted_no_hysteresis
no_hysteresis,130,65.0,131,15.09369116669873,15.09369116669873,-1.0,7,1,2,0,0,0,0.16996100021060556,accepted_no_hysteresis
no_hysteresis,131,65.5,132,15.10367636469486,15.10367636469486,-1.0,7,1,2,0,0,0,0.15263100067386404,accepted_no_hysteresis
no_hysteresis,132,66.0,133,15.11661342728305,15.11661342728305,-1.0,7,1,2,0,0,0,0.14957199891796336,accepted_no_hysteresis
no_hysteresis,133,66.5,134,15.132463984609068,15.132463984609068,-1.0,7,1,2,0,0,0,0.14770599955227226,accepted_no_hysteresis
no_hysteresis,134,67.0,135,15.15118366575739,15.15118366575739,-1.0,7,1,2,0,0,0,0.15346199870691635,accepted_no_hysteresis
no_hysteresis,135,67.5,136,15.805842956401495,15.805842956401495,-1.0,7,1,2,0,1,3,0.1573450026626233,accepted_no_hysteresis
no_hysteresis,136,68.0,137,15.836445106837733,15.836445106837733,-1.0,7,1,2,0,0,0,0.18942799943033606,accepted_no_hysteresis
no_hysteresis,137,68.5,138,15.869279288743343,15.869279288743343,-1.0,7,1,2,0,0,0,0.1672569997026585,accepted_no_hysteresis
no_hysteresis,138,69.0,139,15.74396488655909,15.74396488655909,-1.0,7,1,2,0,1,2,0.1492549999966286,accepted_no_hysteresis
no_hysteresis,139,69.5,140,15.782964830585083,15.782964830585083,-1.0,7,1,2,0,0,0,0.15846200039959513,accepted_no_hysteresis
no_hysteresis,140,70.0,141,15.824455106094838,15.824455106094838,-1.0,7,1,2,0,0,0,0.15619999976479448,accepted_no_hysteresis
no_hysteresis,141,70.5,142,15.86834241372901,15.86834241372901,-1.0,7,1,2,0,0,0,0.15284599794540554,accepted_no_hysteresis
no_hysteresis,142,71.0,143,15.91452882535848,15.91452882535848,-1.0,7,1,2,0,0,0,0.14918099986971356,accepted_no_hysteresis
no_hysteresis,143,71.5,144,15.203202571085509,15.203202571085509,-1.0,8,0,2,0,1,4,0.16958199921646155,accepted_no_hysteresis
no_hysteresis,144,72.0,145,15.21550979488508,15.21550979488508,-1.0,8,0,2,0,0,0,0.16767900160630234,accepted_no_hysteresis
no_hysteresis,145,72.5,146,15.229975793092526,15.229975793092526,-1.0,8,0,2,0,0,0,0.16753199815866537,accepted_no_hysteresis
no_hysteresis,146,73.0,147,15.246540186699898,15.246540186699898,-1.0,8,0,2,0,0,0,0.17489400124759413,accepted_no_hysteresis
no_hysteresis,147,73.5,148,15.265138112146609,15.265138112146609,-1.0,8,0,2,0,0,0,0.16457899982924573,accepted_no_hysteresis
no_hysteresis,148,74.0,149,15.285700414950378,15.285700414950378,-1.0,8,0,2,0,0,0,0.1665660020080395,accepted_no_hysteresis
no_hysteresis,149,74.5,150,15.30815385354312,15.30815385354312,-1.0,8,0,2,0,0,0,0.16256399976555258,accepted_no_hysteresis
no_hysteresis,150,75.0,151,15.33242131271147,15.33242131271147,-1.0,8,0,2,0,0,0,0.17024800035869703,accepted_no_hysteresis
no_hysteresis,151,75.5,152,15.358422026017207,15.358422026017207,-1.0,8,0,2,0,0,0,0.1633160027267877,accepted_no_hysteresis
no_hysteresis,152,76.0,153,15.27333260946341,15.27333260946341,-1.0,8,0,2,0,1,4,0.18243999875267036,accepted_no_hysteresis
no_hysteresis,153,76.5,154,15.323217472787261,15.323217472787261,-1.0,8,0,2,0,0,0,0.17466899953433312,accepted_no_hysteresis
no_hysteresis,154,77.0,155,15.354512043926828,15.354512043926828,-1.0,8,0,2,0,1,2,0.18119199739885516,accepted_no_hysteresis
no_hysteresis,155,77.5,156,15.373045416666592,15.373045416666592,-1.0,8,0,2,0,0,0,0.18410499978926964,accepted_no_hysteresis
no_hysteresis,156,78.0,157,15.395095803965958,15.395095803965958,-1.0,8,0,2,0,0,0,0.186641002073884,accepted_no_hysteresis
no_hysteresis,157,78.5,158,15.42285480287737,15.42285480287737,-1.0,8,0,2,0,0,0,0.16942000002018176,accepted_no_hysteresis
no_hysteresis,158,79.0,159,15.452088897820516,15.452088897820516,-1.0,8,0,2,0,0,0,0.17601100262254477,accepted_no_hysteresis
no_hysteresis,159,79.5,160,15.482701651233558,15.482701651233558,-1.0,8,0,2,0,0,0,0.1726910013530869,accepted_no_hysteresis
no_hysteresis,160,80.0,161,15.514594411277214,15.514594411277214,-1.0,8,0,3,0,0,0,0.16400200183852576,accepted_no_hysteresis
no_hysteresis,161,80.5,162,15.547666586427784,15.547666586427784,-1.0,8,0,3,0,0,0,0.1664119990891777,accepted_no_hysteresis
no_hysteresis,162,81.0,163,15.607109771086206,15.607109771086206,-1.0,8,0,3,0,1,4,0.16323400268447585,accepted_no_hysteresis
no_hysteresis,163,81.5,164,15.629454292210589,15.629454292210589,-1.0,8,0,3,0,0,0,0.16604299889877439,accepted_no_hysteresis
no_hysteresis,164,82.0,165,16.90579705364155,16.90579705364155,-1.0,7,1,3,0,1,1,0.1536999989184551,accepted_no_hysteresis
no_hysteresis,165,82.5,166,16.943354083458658,16.943354083458658,-1.0,7,1,2,0,0,0,0.16022699855966493,accepted_no_hysteresis
no_hysteresis,166,83.0,167,16.98047545164134,16.98047545164134,-1.0,7,1,2,0,0,0,0.15251199874910526,accepted_no_hysteresis
no_hysteresis,167,83.5,168,17.01514114005623,17.01514114005623,-1.0,7,1,2,0,1,3,0.15172400162555277,accepted_no_hysteresis
no_hysteresis,168,84.0,169,17.045510773927894,17.045510773927894,-1.0,7,1,2,0,0,0,0.15907899796729907,accepted_no_hysteresis
no_hysteresis,169,84.5,170,17.075802487294837,17.075802487294837,-1.0,7,1,2,0,0,0,0.15528999938396737,accepted_no_hysteresis
no_hysteresis,170,85.0,171,17.10594398041692,17.10594398041692,-1.0,7,1,2,0,0,0,0.15557900042040274,accepted_no_hysteresis
no_hysteresis,171,85.5,172,17.131825398943626,17.131825398943626,-1.0,7,1,2,0,1,4,0.15185300071607344,accepted_no_hysteresis
no_hysteresis,172,86.0,173,17.15527243714007,17.15527243714007,-1.0,7,1,2,0,0,0,0.1512710005044937,accepted_no_hysteresis
no_hysteresis,173,86.5,174,17.178128223289786,17.178128223289786,-1.0,7,1,2,0,0,0,0.15240100037772208,accepted_no_hysteresis
no_hysteresis,174,87.0,175,17.202530761187468,17.202530761187468,-1.0,7,1,2,0,0,0,0.15618299948982894,accepted_no_hysteresis
no_hysteresis,175,87.5,176,17.236111831304044,17.236111831304044,-1.0,7,1,2,0,0,0,0.16817799769341946,accepted_no_hysteresis
no_hysteresis,176,88.0,177,17.26873865593077,17.26873865593077,-1.0,7,1,2,0,0,0,0.16083100126706995,accepted_no_hysteresis
no_hysteresis,177,88.5,178,17.300334414969328,17.300334414969328,-1.0,7,1,2,0,0,0,0.15555099889752455,accepted_no_hysteresis
no_hysteresis,178,89.0,179,17.33082486318695,17.33082486318695,-1.0,7,1,2,0,0,0,0.15300199811463244,accepted_no_hysteresis
no_hysteresis,179,89.5,180,17.360138497181733,17.360138497181733,-1.0,7,1,2,0,0,0,0.15198300025076605,accepted_no_hysteresis
no_hysteresis,180,90.0,181,17.388206714786563,17.388206714786563,-1.0,7,1,2,0,0,0,0.15237000116030686,accepted_no_hysteresis
no_hysteresis,181,90.5,182,17.382820302549682,17.382820302549682,-1.0,7,1,2,0,1,3,0.15868199989199638,accepted_no_hysteresis
no_hysteresis,182,91.0,183,17.37206798379229,17.37206798379229,-1.0,7,1,2,0,0,0,0.15158400128711946,accepted_no_hysteresis
no_hysteresis,183,91.5,184,17.359756658049477,17.359756658049477,-1.0,7,1,2,0,0,0,0.15201700080069713,accepted_no_hysteresis
no_hysteresis,184,92.0,185,17.345892768402706,17.345892768402706,-1.0,7,1,2,0,0,0,0.15178099783952348,accepted_no_hysteresis
no_hysteresis,185,92.5,186,17.330486465260687,17.330486465260687,-1.0,7,1,2,0,0,0,0.15091699970071204,accepted_no_hysteresis
