camera_id,frame_index,measurement_timestamp,sweep_index,yaw_deg,pitch_deg,detection_count,detection_rpc_latency_ms
Optical_B,20,0.2,0,-35.565051177077976,-0.0,5,2.36756399681326
Optical_A,21,0.21,0,19.365051177077987,-0.0,2,1.6593129985267296
Optical_B,21,0.21,0,-33.76505117707799,-0.0,2,1.2736079952446744
Optical_A,22,0.22,0,21.165051177078,-0.0,7,1.753290998749435
Optical_B,22,0.22,0,-31.96505117707798,-0.0,2,1.226020001922734
Optical_A,23,0.23,0,22.96505117707798,-0.0,9,1.8429350020596758
Optical_B,23,0.23,0,-30.165051177078,-0.0,3,1.4614679967053235
Optical_A,24,0.24,0,24.765051177077993,-0.0,5,1.5226859977701679
Optical_B,24,0.24,0,-28.365051177077987,-0.0,4,1.286992002860643
Optical_A,25,0.25,0,26.565051177077976,-0.0,2,1.2479349970817566
Optical_B,25,0.25,0,-26.565051177077976,-0.0,4,1.5666090039303526
Optical_A,26,0.26,0,28.365051177077987,-0.0,7,1.875179004855454
Optical_B,26,0.26,0,-24.765051177077993,-0.0,7,1.603379991138354
Optical_A,27,0.27,0,30.165051177078,-0.0,6,2.296984996064566
Optical_B,27,0.27,0,-22.96505117707798,-0.0,5,1.4194310060702264
Optical_A,28,0.28,0,31.96505117707801,-0.0,2,1.3903049984946847
Optical_B,28,0.28,0,-21.165051177078,-0.0,5,2.558934997068718
Optical_A,29,0.29,0,33.76505117707799,-0.0,7,1.6330549988197163
Optical_B,29,0.29,0,-19.365051177077987,-0.0,7,2.12664800346829
Optical_A,30,0.3,0,35.565051177077976,-0.0,4,1.5904699976090342
Optical_B,30,0.3,0,-17.565051177077976,-0.0,5,1.5976730064721778
Optical_A,31,0.31,0,37.36505117707799,-0.0,0,1.0817809961736202
Optical_B,31,0.31,0,-15.765051177077993,-0.0,3,1.188447989989072
Optical_A,32,0.32,0,39.165051177078,-0.0,0,1.2201370118418708
Optical_B,32,0.32,0,-13.965051177077981,-0.0,2,1.168902002973482
Optical_A,33,0.33,0,40.96505117707801,-0.0,2,1.285144011490047
Optical_B,33,0.33,0,-12.165051177077999,-0.0,0,0.9811299969442189
Optical_A,34,0.34,0,42.76505117707799,-0.0,1,1.1877229990204796
Optical_B,34,0.34,0,-10.365051177077987,-0.0,0,0.94742099463474
Optical_A,35,0.35000000000000003,0,44.565051177078004,-0.0,0,1.0510610009077936
Optical_B,35,0.35000000000000003,0,-8.565051177077976,-0.0,0,0.8623960020486265
Optical_A,36,0.36,0,46.36505117707799,-0.0,0,1.2069819931639358
Optical_B,36,0.36,0,-6.765051177077993,-0.0,0,1.1690400133375078
Optical_A,37,0.37,0,48.165051177078,-0.0,0,1.5009600028861314
Optical_B,37,0.37,0,-4.96505117707801,-0.0,0,0.9556120057823136
Optical_A,38,0.38,0,49.96505117707801,-0.0,0,1.7248819931410253
Optical_B,38,0.38,0,-3.1650511770779985,-0.0,0,0.9976599976653233
Optical_A,39,0.39,0,51.76505117707799,-0.0,0,1.116462008212693
Optical_B,39,0.39,0,-1.3650511770779872,-0.0,0,0.9513770055491477
Optical_A,40,0.4,0,53.565051177077976,-0.0,0,1.0957960039377213
