track_id,camera_id,sample_index,sweep_index,measurement_timestamp,ray_x_ned,ray_y_ned,ray_z_ned,azimuth_deg,elevation_deg,detection_uids
Optical_A-T0001,Optical_A,10,10,5.195000446714413,0.9556449704131474,0.2944533305268978,-0.00631875507297195,17.125112015862356,0.3620404066631385,"[""Optical_A-F00519-D000"", ""Optical_A-F00520-D000""]"
Optical_A-T0001,Optical_A,11,11,5.8,0.9539183045376606,0.2999981591096695,-0.006400999828519158,17.457861702943514,0.366752779348493,"[""Optical_A-F00580-D000""]"
Optical_A-T0001,Optical_A,12,12,6.2,0.9527336506160746,0.30373821849172555,-0.006456439517277661,17.68264893468603,0.3699293051733823,"[""Optical_A-F00620-D000""]"
Optical_A-T0001,Optical_A,13,13,6.7949983161264935,0.950904920523111,0.30941404916556886,-0.006540512510701792,18.024320700941118,0.3747464345842553,"[""Optical_A-F00679-D001"", ""Optical_A-F00680-D000""]"
Optical_A-T0001,Optical_A,14,14,7.20500332297072,0.9495965791360282,0.31340514083874005,-0.006599590063206381,18.26497223225976,0.3781314020650435,"[""Optical_A-F00720-D000"", ""Optical_A-F00721-D001""]"
Optical_A-T0001,Optical_A,15,15,7.795000677996663,0.9476414598595516,0.3192662793511354,-0.006686286304103476,18.618989876306305,0.3830988403739796,"[""Optical_A-F00779-D001"", ""Optical_A-F00780-D000""]"
Optical_A-T0001,Optical_A,16,16,8.205000804006575,0.9462303253148314,0.3234233133046645,-0.006747730405187546,18.87052508519237,0.3866194074643489,"[""Optical_A-F00820-D000"", ""Optical_A-F00821-D000""]"
Optical_A-T0001,Optical_A,17,17,8.790000000000001,0.9441386583337439,0.32947753681166964,-0.0068371467932830405,19.237534523910522,0.3917427073120064,"[""Optical_A-F00879-D000""]"
Optical_A-T0001,Optical_A,18,18,9.21,0.9425778516804021,0.3339151795368333,-0.006902636919493145,19.507067630536916,0.39549510369329055,"[""Optical_A-F00921-D000""]"
Optical_A-T0001,Optical_A,19,19,9.784998548825527,0.9403568286569456,0.34011779928032754,-0.006994098294911381,19.884558069786582,0.4007355810012015,"[""Optical_A-F00978-D001"", ""Optical_A-F00979-D000""]"
Optical_A-T0001,Optical_A,20,20,10.215002904249637,0.9386295656640933,0.3448545199618269,-0.0070638886693948095,20.17344058258663,0.4047343736954455,"[""Optical_A-F01021-D000"", ""Optical_A-F01022-D001""]"
Optical_A-T0001,Optical_A,21,21,10.785001394518707,0.936248069969246,0.3512667226671899,-0.007158283698852569,20.565363874031505,0.4101429472432732,"[""Optical_A-F01078-D001"", ""Optical_A-F01079-D000""]"
Optical_A-T0001,Optical_A,22,22,11.218702266391958,0.9343962373152285,0.3561620075754899,-0.007231600855958213,20.865249014911434,0.41434381964736167,"[""Optical_A-F01121-D000"", ""Optical_A-F01122-D001""]"
Optical_A-T0001,Optical_A,23,23,11.78,0.9318236118802959,0.3628374996440742,-0.007328382795412956,21.27515828044746,0.4198891632621603,"[""Optical_A-F01178-D000""]"
Optical_A-T0002,Optical_A,0,0,0.19500035309672203,0.9562506683951254,0.2925417892369966,-0.0019901617755495923,17.010225386328152,0.11402794555991982,"[""Optical_A-F00019-D000"", ""Optical_A-F00020-D000""]"
Optical_A-T0002,Optical_A,1,1,0.8,0.9542514843304496,0.2989983651304585,-0.002020470847821095,17.397489195392968,0.11576453097376373,"[""Optical_A-F00080-D000""]"
Optical_A-T0002,Optical_A,2,2,1.2,0.9528712218877496,0.3033682068855045,-0.0020409677167439744,17.66005622267324,0.11693891747778039,"[""Optical_A-F00120-D000""]"
