detection_uid,camera_id,frame_index,measurement_timestamp,arrival_timestamp,bbox_xyxy,center_px,confidence
Optical_B-F00020-D002,Optical_B,20,0.2,0.20236756399681327,"[462.4888916015625, 348.05450439453125, 504.41278076171875, 356.373779296875]","[483.4508361816406, 352.2141418457031]",1.0
Optical_B-F00020-D003,Optical_B,20,0.2,0.20236756399681327,"[446.221435546875, 448.72198486328125, 489.5250244140625, 457.139892578125]","[467.87322998046875, 452.9309387207031]",1.0
Optical_B-F00020-D004,Optical_B,20,0.2,0.20236756399681327,"[450.6494140625, 480.45465087890625, 493.2485656738281, 488.6822509765625]","[471.94898986816406, 484.5684509277344]",1.0
Optical_A-F00021-D000,Optical_A,21,0.21,0.21165931299852672,"[58.87584686279297, 487.08697509765625, 100.037841796875, 495.8739013671875]","[79.45684432983398, 491.4804382324219]",1.0
Optical_A-F00021-D001,Optical_A,21,0.21,0.21165931299852672,"[583.1341552734375, 416.35870361328125, 616.4716796875, 423.49969482421875]","[599.8029174804688, 419.92919921875]",1.0
Optical_B-F00021-D000,Optical_B,21,0.21,0.21127360799524467,"[324.06439208984375, 451.44317626953125, 362.83905029296875, 459.0108642578125]","[343.45172119140625, 455.2270202636719]",1.0
Optical_B-F00021-D001,Optical_B,21,0.21,0.21127360799524467,"[735.0867919921875, 607.10498046875, 783.3804321289062, 616.6448974609375]","[759.2336120605469, 611.8749389648438]",1.0
Optical_A-F00022-D000,Optical_A,22,0.22,0.22175329099874944,"[1023.50634765625, 765.526611328125, 1071.3798828125, 775.8734130859375]","[1047.443115234375, 770.7000122070312]",1.0
Optical_A-F00022-D001,Optical_A,22,0.22,0.22175329099874944,"[1189.4776611328125, 634.7288818359375, 1238.2052001953125, 644.9771728515625]","[1213.8414306640625, 639.85302734375]",1.0
Optical_A-F00022-D002,Optical_A,22,0.22,0.22175329099874944,"[925.0051879882812, 499.09979248046875, 968.3880615234375, 508.06097412109375]","[946.6966247558594, 503.58038330078125]",1.0
