document,table_index,section,table_line,row,column,reported,source,selector,source_row,source_fields,source_values,expected,status
deliverables/leadership_report/中心航迹与拦截无人机目标配准试验报告_CN.md,5,3.1 有卫星、正常姿态和理想检测,117,7,关联准确度,99.0%,research_modules/independent_experiments/center_terminal_cv_campaign/outputs/center_handover_sensor_error_20260820/aggregate_metrics.csv,data_row:57,56,"[""binding_precision_mean""]","{""binding_precision_mean"": ""0.9898717948717948""}",99.0%,match
deliverables/leadership_report/中心航迹与拦截无人机目标配准试验报告_CN.md,5,3.1 有卫星、正常姿态和理想检测,117,7,关联覆盖度,98.8%,research_modules/independent_experiments/center_terminal_cv_campaign/outputs/center_handover_sensor_error_20260820/aggregate_metrics.csv,data_row:57,56,"[""binding_recall_mean""]","{""binding_recall_mean"": ""0.9875""}",98.8%,match
deliverables/leadership_report/中心航迹与拦截无人机目标配准试验报告_CN.md,5,3.1 有卫星、正常姿态和理想检测,117,7,处理耗时P95,2.910秒,research_modules/independent_experiments/center_terminal_cv_campaign/outputs/center_handover_sensor_error_20260820/aggregate_metrics.csv,data_row:57,56,"[""runtime_s_p95""]","{""runtime_s_p95"": ""2.90974713724936""}",2.910秒,match
deliverables/leadership_report/中心航迹与拦截无人机目标配准试验报告_CN.md,5,3.1 有卫星、正常姿态和理想检测,117,7,达到80%的批数,10/10,research_modules/independent_experiments/center_terminal_cv_campaign/outputs/center_handover_sensor_error_20260820/aggregate_metrics.csv,data_row:57,56,"[""seeds_precision_and_recall_gte_0_80"", ""seed_count""]","{""seeds_precision_and_recall_gte_0_80"": ""10"", ""seed_count"": ""10""}",10/10,match
deliverables/leadership_report/中心航迹与拦截无人机目标配准试验报告_CN.md,5,3.1 有卫星、正常姿态和理想检测,117,8,关联准确度,97.5%,research_modules/independent_experiments/center_terminal_cv_campaign/outputs/center_handover_sensor_error_20260820/aggregate_metrics.csv,data_row:58,57,"[""binding_precision_mean""]","{""binding_precision_mean"": ""0.975""}",97.5%,match
deliverables/leadership_report/中心航迹与拦截无人机目标配准试验报告_CN.md,5,3.1 有卫星、正常姿态和理想检测,117,8,关联覆盖度,7.8%,research_modules/independent_experiments/center_terminal_cv_campaign/outputs/center_handover_sensor_error_20260820/aggregate_metrics.csv,data_row:58,57,"[""binding_recall_mean""]","{""binding_recall_mean"": ""0.0775""}",7.8%,match
deliverables/leadership_report/中心航迹与拦截无人机目标配准试验报告_CN.md,5,3.1 有卫星、正常姿态和理想检测,117,8,处理耗时P95,0.534秒,research_modules/independent_experiments/center_terminal_cv_campaign/outputs/center_handover_sensor_error_20260820/aggregate_metrics.csv,data_row:58,57,"[""runtime_s_p95""]","{""runtime_s_p95"": ""0.5339650391528267""}",0.534秒,match
deliverables/leadership_report/中心航迹与拦截无人机目标配准试验报告_CN.md,5,3.1 有卫星、正常姿态和理想检测,117,8,达到80%的批数,0/10,research_modules/independent_experiments/center_terminal_cv_campaign/outputs/center_handover_sensor_error_20260820/aggregate_metrics.csv,data_row:58,57,"[""seeds_precision_and_recall_gte_0_80"", ""seed_count""]","{""seeds_precision_and_recall_gte_0_80"": ""0"", ""seed_count"": ""10""}",0/10,match
deliverables/leadership_report/中心航迹与拦截无人机目标配准试验报告_CN.md,5,3.1 有卫星、正常姿态和理想检测,117,9,关联准确度,96.3%,research_modules/independent_experiments/center_terminal_cv_campaign/outputs/center_handover_sensor_error_20260820/aggregate_metrics.csv,data_row:73,72,"[""binding_precision_mean""]","{""binding_precision_mean"": ""0.963276836158192""}",96.3%,match
deliverables/leadership_report/中心航迹与拦截无人机目标配准试验报告_CN.md,5,3.1 有卫星、正常姿态和理想检测,117,9,关联覆盖度,95.8%,research_modules/independent_experiments/center_terminal_cv_campaign/outputs/center_handover_sensor_error_20260820/aggregate_metrics.csv,data_row:73,72,"[""binding_recall_mean""]","{""binding_recall_mean"": ""0.9583333333333334""}",95.8%,match
