detection_uid,camera_id,frame_index,measurement_timestamp,truth_id,raw_detection_name,truth_assignment_pixel_error,relative_pose,box3d,offline_truth_only
Optical_B-F00224-D005,Optical_B,224,2.24,TRUTH-032,MSM_DualOptical_Target_032,1.2172455928954116,"{""orientation_xyzw"": [-0.0, 0.0, 0.9530397057533264, 0.302845299243927], ""position"": [1546.8485107421875, -996.9107666015625, 97.05152893066406]}","{""max"": [1547.352294921875, -995.2249755859375, 96.7934341430664], ""min"": [1546.3448486328125, -998.596435546875, 97.46080017089844]}",True
Optical_A-F00225-D000,Optical_A,225,2.25,TRUTH-010,MSM_DualOptical_Target_010,1.072888801440212,"{""orientation_xyzw"": [0.0, -0.0, -0.9852994084358215, 0.17083603143692017], ""position"": [1756.027099609375, 983.73583984375, 86.68112182617188]}","{""max"": [1757.696044921875, 984.2921752929688, 86.42302703857422], ""min"": [1754.35791015625, 983.1793823242188, 87.09038543701172]}",True
Optical_A-F00225-D001,Optical_A,225,2.25,TRUTH-012,MSM_DualOptical_Target_012,1.0925527818003973,"{""orientation_xyzw"": [0.0, -0.0, -0.9852994084358215, 0.17083603143692017], ""position"": [1724.50732421875, 1041.548583984375, 95.18427276611328]}","{""max"": [1726.1763916015625, 1042.1051025390625, 94.92617797851562], ""min"": [1722.8382568359375, 1040.9921875, 95.59354400634766]}",True
Optical_A-F00225-D002,Optical_A,225,2.25,TRUTH-013,MSM_DualOptical_Target_013,1.0761205891449757,"{""orientation_xyzw"": [0.0, -0.0, -0.957679033279419, 0.2878382205963135], ""position"": [1751.066650390625, 1034.3548583984375, 97.6869888305664]}","{""max"": [1752.7357177734375, 1034.9112548828125, 97.42889404296875], ""min"": [1749.3974609375, 1033.7984619140625, 98.09626007080078]}",True
Optical_A-F00225-D003,Optical_A,225,2.25,TRUTH-024,MSM_DualOptical_Target_024,3.805960535659069,"{""orientation_xyzw"": [0.0, -0.0, -0.9852994084358215, 0.17083603143692017], ""position"": [2576.56396484375, 934.9961547851562, 82.39603424072266]}","{""max"": [2578.233154296875, 935.552490234375, 82.137939453125], ""min"": [2574.89501953125, 934.4396362304688, 82.8052978515625]}",True
Optical_A-F00225-D004,Optical_A,225,2.25,TRUTH-029,MSM_DualOptical_Target_029,0.7033814899894126,"{""orientation_xyzw"": [0.0, -0.0, -0.957679033279419, 0.2878382205963135], ""position"": [2683.998291015625, 968.3489379882812, 97.28807067871094]}","{""max"": [2685.667236328125, 968.9053955078125, 97.02997589111328], ""min"": [2682.3291015625, 967.7925415039062, 97.69734191894531]}",True
Optical_B-F00225-D000,Optical_B,225,2.25,TRUTH-014,MSM_DualOptical_Target_014,0.7430342819946932,"{""orientation_xyzw"": [-0.0, 0.0, 0.957679033279419, 0.2878381609916687], ""position"": [2550.8818359375, -1003.9518432617188, 100.05168914794922]}","{""max"": [2551.4384765625, -1002.2827758789062, 99.79359436035156], ""min"": [2550.325439453125, -1005.6209716796875, 100.46095275878906]}",True
Optical_B-F00225-D001,Optical_B,225,2.25,TRUTH-016,MSM_DualOptical_Target_016,0.8187858773817306,"{""orientation_xyzw"": [-0.0, 0.0, 0.957679033279419, 0.2878381609916687], ""position"": [2304.27734375, -1054.6783447265625, 84.62782287597656]}","{""max"": [2304.833740234375, -1053.0091552734375, 84.3697280883789], ""min"": [2303.720947265625, -1056.347412109375, 85.0370864868164]}",True
Optical_B-F00225-D002,Optical_B,225,2.25,TRUTH-017,MSM_DualOptical_Target_017,0.7797406823395351,"{""orientation_xyzw"": [-0.0, 0.0, 0.9852994084358215, 0.17083603143692017], ""position"": [2435.322021484375, -1014.2208862304688, 100.74977111816406]}","{""max"": [2435.87841796875, -1012.5518798828125, 100.4916763305664], ""min"": [2434.765625, -1015.8901977539062, 101.15904235839844]}",True
Optical_B-F00225-D003,Optical_B,225,2.25,TRUTH-023,MSM_DualOptical_Target_023,0.9232621681206631,"{""orientation_xyzw"": [-0.0, 0.0, 0.9852994084358215, 0.17083603143692017], ""position"": [2057.358154296875, -1043.9876708984375, 104.60172271728516]}","{""max"": [2057.914306640625, -1042.3184814453125, 104.3436279296875], ""min"": [2056.8017578125, -1045.65673828125, 105.01099395751953]}",True
