frame_index,simulation_timestamp,truth_id,actor_name,px_ned_m,py_ned_m,pz_ned_m,vx_ned_mps,vy_ned_mps,vz_ned_mps,offline_truth_only
0,0.0,TRUTH-023,MSM_DualOptical_Target_023,1932.1729989531427,27.07921902623235,-95.39826623502428,-49.63869458396343,6.0,0.0,True
0,0.0,TRUTH-024,MSM_DualOptical_Target_024,2445.307347435888,107.63153619316216,-117.60396296496035,-49.63869458396343,-6.0,0.0,True
0,0.0,TRUTH-025,MSM_DualOptical_Target_025,1608.5705454166418,86.92973293775728,-85.86010587040772,-49.63869458396343,6.0,0.0,True
0,0.0,TRUTH-026,MSM_DualOptical_Target_026,1878.6125890434664,160.34144540923464,-88.64446277539467,-49.63869458396343,-6.0,0.0,True
0,0.0,TRUTH-027,MSM_DualOptical_Target_027,2094.787639310117,139.49041224094333,-104.28317821986661,-49.63869458396343,6.0,0.0,True
0,0.0,TRUTH-028,MSM_DualOptical_Target_028,2121.537957164246,182.9639993701059,-91.3619110508727,-49.63869458396343,-6.0,0.0,True
0,0.0,TRUTH-029,MSM_DualOptical_Target_029,2526.4836265952977,158.50924813185705,-102.71192263864727,-49.63869458396343,6.0,0.0,True
0,0.0,TRUTH-030,MSM_DualOptical_Target_030,1797.8131676876437,226.27160763689776,-84.14550070335747,-49.63869458396343,-6.0,0.0,True
0,0.0,TRUTH-031,MSM_DualOptical_Target_031,2175.561966763139,240.01597450357193,-107.8782521661684,-49.63869458396343,6.0,0.0,True
0,0.0,TRUTH-032,MSM_DualOptical_Target_032,1473.7903935645863,281.270502879134,-102.94847320601568,-49.63869458396343,-6.0,0.0,True
0,0.0,TRUTH-033,MSM_DualOptical_Target_033,2067.371509376625,256.8288507173065,-113.50667452836628,-49.63869458396343,6.0,0.0,True
0,0.0,TRUTH-034,MSM_DualOptical_Target_034,2013.4396296004093,346.6174825494187,-102.18504125303772,-49.63869458396343,-6.0,0.0,True
0,0.0,TRUTH-035,MSM_DualOptical_Target_035,1986.2501339407916,329.50345933872757,-97.89347013211159,-49.63869458396343,6.0,0.0,True
0,0.0,TRUTH-036,MSM_DualOptical_Target_036,2472.7597491386036,370.2259676527824,-100.1101747469498,-49.63869458396343,-6.0,0.0,True
0,0.0,TRUTH-037,MSM_DualOptical_Target_037,2040.3427677246234,350.2785186388248,-88.64925633603362,-49.63869458396343,6.0,0.0,True
0,0.0,TRUTH-038,MSM_DualOptical_Target_038,2202.524728217268,441.6729376075256,-117.29751121305205,-49.63869458396343,-6.0,0.0,True
0,0.0,TRUTH-039,MSM_DualOptical_Target_039,1959.2319554925498,374.4025033886936,-82.82458372693597,-49.63869458396343,6.0,0.0,True
0,0.0,TRUTH-040,MSM_DualOptical_Target_040,1716.8111916527075,480.1848293411382,-92.38343990041406,-49.63869458396343,-6.0,0.0,True
1,0.01,TRUTH-001,MSM_DualOptical_Target_001,1769.6978169144072,-462.5223215647317,-103.73930684521301,-49.63869458396343,6.0,0.0,True
