frame_index,timestamp,camera_id,camera_owner,camera_role,detector_backend,online_detection_count,offline_visible_target_count,offline_matched_detection_count
32,8.0,D5_Primary_4:0,D5_Primary_4,primary,bytetrack,3,5,3
32,8.0,D5_Primary_5:0,D5_Primary_5,primary,bytetrack,1,4,1
32,8.0,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
33,8.25,D5_Primary_1:0,D5_Primary_1,primary,bytetrack,3,4,3
33,8.25,D5_Primary_2:0,D5_Primary_2,primary,bytetrack,4,5,3
33,8.25,D5_Primary_3:0,D5_Primary_3,primary,bytetrack,5,5,4
33,8.25,D5_Primary_4:0,D5_Primary_4,primary,bytetrack,2,5,2
33,8.25,D5_Primary_5:0,D5_Primary_5,primary,bytetrack,1,3,1
33,8.25,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
34,8.5,D5_Primary_1:0,D5_Primary_1,primary,bytetrack,2,4,2
34,8.5,D5_Primary_2:0,D5_Primary_2,primary,bytetrack,3,4,2
34,8.5,D5_Primary_3:0,D5_Primary_3,primary,bytetrack,4,5,4
34,8.5,D5_Primary_4:0,D5_Primary_4,primary,bytetrack,2,5,2
34,8.5,D5_Primary_5:0,D5_Primary_5,primary,bytetrack,1,4,1
34,8.5,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
35,8.75,D5_Primary_1:0,D5_Primary_1,primary,bytetrack,2,4,2
35,8.75,D5_Primary_2:0,D5_Primary_2,primary,bytetrack,3,5,3
35,8.75,D5_Primary_3:0,D5_Primary_3,primary,bytetrack,4,4,3
35,8.75,D5_Primary_4:0,D5_Primary_4,primary,bytetrack,0,5,0
35,8.75,D5_Primary_5:0,D5_Primary_5,primary,bytetrack,1,4,1
35,8.75,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
36,9.0,D5_Primary_1:0,D5_Primary_1,primary,bytetrack,1,4,1
36,9.0,D5_Primary_2:0,D5_Primary_2,primary,bytetrack,5,5,4
36,9.0,D5_Primary_3:0,D5_Primary_3,primary,bytetrack,4,5,4
36,9.0,D5_Primary_4:0,D5_Primary_4,primary,bytetrack,2,5,2
36,9.0,D5_Primary_5:0,D5_Primary_5,primary,bytetrack,1,3,1
36,9.0,D5_Recon_1:0,D5_Recon_1,recon,airsim,4,4,4
37,9.25,D5_Primary_1:0,D5_Primary_1,primary,bytetrack,3,4,3
37,9.25,D5_Primary_2:0,D5_Primary_2,primary,bytetrack,3,5,3
37,9.25,D5_Primary_3:0,D5_Primary_3,primary,bytetrack,5,5,4
37,9.25,D5_Primary_4:0,D5_Primary_4,primary,bytetrack,2,5,2
37,9.25,D5_Primary_5:0,D5_Primary_5,primary,bytetrack,2,4,2
37,9.25,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
38,9.5,D5_Primary_1:0,D5_Primary_1,primary,bytetrack,3,4,3
38,9.5,D5_Primary_2:0,D5_Primary_2,primary,bytetrack,1,5,1
38,9.5,D5_Primary_3:0,D5_Primary_3,primary,bytetrack,3,5,3
38,9.5,D5_Primary_4:0,D5_Primary_4,primary,bytetrack,2,5,2
38,9.5,D5_Primary_5:0,D5_Primary_5,primary,bytetrack,1,4,1
38,9.5,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
39,9.75,D5_Primary_1:0,D5_Primary_1,primary,bytetrack,1,4,1
39,9.75,D5_Primary_2:0,D5_Primary_2,primary,bytetrack,2,5,2
39,9.75,D5_Primary_3:0,D5_Primary_3,primary,bytetrack,2,5,2
39,9.75,D5_Primary_4:0,D5_Primary_4,primary,bytetrack,2,5,2
39,9.75,D5_Primary_5:0,D5_Primary_5,primary,bytetrack,0,4,0
39,9.75,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
40,10.0,D5_Primary_1:0,D5_Primary_1,primary,bytetrack,2,5,2
40,10.0,D5_Primary_2:0,D5_Primary_2,primary,bytetrack,5,5,4
40,10.0,D5_Primary_3:0,D5_Primary_3,primary,bytetrack,3,5,3
40,10.0,D5_Primary_4:0,D5_Primary_4,primary,bytetrack,2,5,2
40,10.0,D5_Primary_5:0,D5_Primary_5,primary,bytetrack,1,4,1
40,10.0,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
41,10.25,D5_Primary_1:0,D5_Primary_1,primary,bytetrack,2,5,2
41,10.25,D5_Primary_2:0,D5_Primary_2,primary,bytetrack,2,5,2
41,10.25,D5_Primary_3:0,D5_Primary_3,primary,bytetrack,3,5,3
41,10.25,D5_Primary_4:0,D5_Primary_4,primary,bytetrack,2,5,2
41,10.25,D5_Primary_5:0,D5_Primary_5,primary,bytetrack,1,4,1
41,10.25,D5_Recon_1:0,D5_Recon_1,recon,airsim,4,4,4
42,10.5,D5_Primary_1:0,D5_Primary_1,primary,bytetrack,2,5,2
42,10.5,D5_Primary_2:0,D5_Primary_2,primary,bytetrack,4,4,3
42,10.5,D5_Primary_3:0,D5_Primary_3,primary,bytetrack,3,5,3
42,10.5,D5_Primary_4:0,D5_Primary_4,primary,bytetrack,2,5,2
42,10.5,D5_Primary_5:0,D5_Primary_5,primary,bytetrack,1,4,1
42,10.5,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
43,10.75,D5_Primary_1:0,D5_Primary_1,primary,bytetrack,3,5,3
43,10.75,D5_Primary_2:0,D5_Primary_2,primary,bytetrack,4,5,4
43,10.75,D5_Primary_3:0,D5_Primary_3,primary,bytetrack,3,5,3
43,10.75,D5_Primary_4:0,D5_Primary_4,primary,bytetrack,2,4,2
