frame_id,timestamp,resource_id,camera_id,local_track_id,global_track_id,truth_global_track_id,mahalanobis_d2,pixel_error_px,gate_passed,selected,stable_cross_view_support,decision_state,reject_reasons,id_match
d5_cv_5v5_multicamera_formal_20260716_detect:0000:D5_Primary_3:0,0.0,INT-03,D5_Primary_3:0,D5_Primary_3:0:det:0002,G-101,G-102,37.52085696377998,438.7003338865815,False,False,False,rejected,geometry_gate_rejected,
d5_cv_5v5_multicamera_formal_20260716_detect:0000:D5_Primary_3:0,0.0,INT-03,D5_Primary_3:0,D5_Primary_3:0:det:0003,G-101,G-103,152.46723852341353,884.341713530761,False,False,False,rejected,geometry_gate_rejected,
d5_cv_5v5_multicamera_formal_20260716_detect:0000:D5_Primary_3:0,0.0,INT-03,D5_Primary_3:0,D5_Primary_3:0:det:0004,G-101,G-104,344.85603106566447,1329.997394088406,False,False,False,rejected,geometry_gate_rejected,
d5_cv_5v5_multicamera_formal_20260716_detect:0000:D5_Primary_3:0,0.0,INT-03,D5_Primary_3:0,D5_Primary_3:0:det:0005,G-101,G-105,608.9447140130418,1767.3428905320638,False,False,False,rejected,geometry_gate_rejected,
d5_cv_5v5_multicamera_formal_20260716_detect:0000:D5_Primary_3:0,0.0,INT-03,D5_Primary_3:0,D5_Primary_3:0:det:0001,G-102,G-101,36.99767879712643,433.99461013058783,False,False,False,rejected,geometry_gate_rejected,
d5_cv_5v5_multicamera_formal_20260716_detect:0000:D5_Primary_3:0,0.0,INT-03,D5_Primary_3:0,D5_Primary_3:0:det:0002,G-102,G-102,0.03120124300132179,12.58733191421985,True,True,False,candidate,stability_window_failed,True
d5_cv_5v5_multicamera_formal_20260716_detect:0000:D5_Primary_3:0,0.0,INT-03,D5_Primary_3:0,D5_Primary_3:0:det:0003,G-102,G-103,39.6614416201501,449.3477760313106,False,False,False,rejected,geometry_gate_rejected,
d5_cv_5v5_multicamera_formal_20260716_detect:0000:D5_Primary_3:0,0.0,INT-03,D5_Primary_3:0,D5_Primary_3:0:det:0004,G-102,G-104,157.3189096542868,894.9295348013848,False,False,False,rejected,geometry_gate_rejected,
d5_cv_5v5_multicamera_formal_20260716_detect:0000:D5_Primary_3:0,0.0,INT-03,D5_Primary_3:0,D5_Primary_3:0:det:0005,G-102,G-105,348.6389305270292,1332.2516881051306,False,False,False,rejected,geometry_gate_rejected,
d5_cv_5v5_multicamera_formal_20260716_detect:0000:D5_Primary_3:0,0.0,INT-03,D5_Primary_3:0,D5_Primary_3:0:det:0001,G-103,G-101,157.5516460272319,894.185454976073,False,False,False,rejected,geometry_gate_rejected,
d5_cv_5v5_multicamera_formal_20260716_detect:0000:D5_Primary_3:0,0.0,INT-03,D5_Primary_3:0,D5_Primary_3:0:det:0002,G-103,G-102,41.12943456240748,456.86985182107134,False,False,False,rejected,geometry_gate_rejected,
d5_cv_5v5_multicamera_formal_20260716_detect:0000:D5_Primary_3:0,0.0,INT-03,D5_Primary_3:0,D5_Primary_3:0:det:0003,G-103,G-103,0.036727999760764345,13.652581760180796,True,True,False,candidate,stability_window_failed,True
d5_cv_5v5_multicamera_formal_20260716_detect:0000:D5_Primary_3:0,0.0,INT-03,D5_Primary_3:0,D5_Primary_3:0:det:0004,G-103,G-104,37.216707001867135,434.5953679210962,False,False,False,rejected,geometry_gate_rejected,
d5_cv_5v5_multicamera_formal_20260716_detect:0000:D5_Primary_3:0,0.0,INT-03,D5_Primary_3:0,D5_Primary_3:0:det:0005,G-103,G-105,149.7991737533674,871.9083423155881,False,False,False,rejected,geometry_gate_rejected,
d5_cv_5v5_multicamera_formal_20260716_detect:0000:D5_Primary_3:0,0.0,INT-03,D5_Primary_3:0,D5_Primary_3:0:det:0001,G-104,G-101,348.48555905667774,1331.8819162067884,False,False,False,rejected,geometry_gate_rejected,
d5_cv_5v5_multicamera_formal_20260716_detect:0000:D5_Primary_3:0,0.0,INT-03,D5_Primary_3:0,D5_Primary_3:0:det:0002,G-104,G-102,157.19768955986643,894.5330807885581,False,False,False,rejected,geometry_gate_rejected,
d5_cv_5v5_multicamera_formal_20260716_detect:0000:D5_Primary_3:0,0.0,INT-03,D5_Primary_3:0,D5_Primary_3:0:det:0003,G-104,G-103,39.581854269587375,448.870831948782,False,False,False,rejected,geometry_gate_rejected,
d5_cv_5v5_multicamera_formal_20260716_detect:0000:D5_Primary_3:0,0.0,INT-03,D5_Primary_3:0,D5_Primary_3:0:det:0004,G-104,G-104,0.0021556183187016785,3.3122249006080704,True,True,False,candidate,stability_window_failed,True
d5_cv_5v5_multicamera_formal_20260716_detect:0000:D5_Primary_3:0,0.0,INT-03,D5_Primary_3:0,D5_Primary_3:0:det:0005,G-104,G-105,37.026920897341995,434.14234387667625,False,False,False,rejected,geometry_gate_rejected,
d5_cv_5v5_multicamera_formal_20260716_detect:0000:D5_Primary_3:0,0.0,INT-03,D5_Primary_3:0,D5_Primary_3:0:det:0001,G-105,G-101,605.1252258125214,1761.6274676719142,False,False,False,rejected,geometry_gate_rejected,
d5_cv_5v5_multicamera_formal_20260716_detect:0000:D5_Primary_3:0,0.0,INT-03,D5_Primary_3:0,D5_Primary_3:0:det:0002,G-105,G-102,341.96117072918037,1324.2800413868156,False,False,False,rejected,geometry_gate_rejected,
d5_cv_5v5_multicamera_formal_20260716_detect:0000:D5_Primary_3:0,0.0,INT-03,D5_Primary_3:0,D5_Primary_3:0:det:0003,G-105,G-103,150.52890080317334,878.6205485523141,False,False,False,rejected,geometry_gate_rejected,
d5_cv_5v5_multicamera_formal_20260716_detect:0000:D5_Primary_3:0,0.0,INT-03,D5_Primary_3:0,D5_Primary_3:0:det:0004,G-105,G-104,36.553415532423855,432.96744925307354,False,False,False,rejected,geometry_gate_rejected,
d5_cv_5v5_multicamera_formal_20260716_detect:0000:D5_Primary_3:0,0.0,INT-03,D5_Primary_3:0,D5_Primary_3:0:det:0005,G-105,G-105,0.007001740900470097,5.977871740558873,True,True,False,candidate,stability_window_failed,True
d5_cv_5v5_multicamera_formal_20260716_detect:0000:D5_Primary_4:0,0.0,INT-04,D5_Primary_4:0,D5_Primary_4:0:det:0001,G-101,G-102,,444.7530673269787,False,False,False,rejected,projection_invalid,
d5_cv_5v5_multicamera_formal_20260716_detect:0000:D5_Primary_4:0,0.0,INT-04,D5_Primary_4:0,D5_Primary_4:0:det:0002,G-101,G-103,,882.0814071523774,False,False,False,rejected,projection_invalid,
d5_cv_5v5_multicamera_formal_20260716_detect:0000:D5_Primary_4:0,0.0,INT-04,D5_Primary_4:0,D5_Primary_4:0:det:0003,G-101,G-104,,1327.7369967536529,False,False,False,rejected,projection_invalid,
d5_cv_5v5_multicamera_formal_20260716_detect:0000:D5_Primary_4:0,0.0,INT-04,D5_Primary_4:0,D5_Primary_4:0:det:0004,G-101,G-105,,1773.3961850168328,False,False,False,rejected,projection_invalid,
d5_cv_5v5_multicamera_formal_20260716_detect:0000:D5_Primary_4:0,0.0,INT-04,D5_Primary_4:0,D5_Primary_4:0:det:0001,G-102,G-102,0.0548029338060204,16.724574113816413,True,True,False,candidate,stability_window_failed,True
d5_cv_5v5_multicamera_formal_20260716_detect:0000:D5_Primary_4:0,0.0,INT-04,D5_Primary_4:0,D5_Primary_4:0:det:0002,G-102,G-103,39.2895438800148,449.073561185916,False,False,False,rejected,geometry_gate_rejected,
d5_cv_5v5_multicamera_formal_20260716_detect:0000:D5_Primary_4:0,0.0,INT-04,D5_Primary_4:0,D5_Primary_4:0:det:0003,G-102,G-104,155.93800380268476,894.6551846676405,False,False,False,rejected,geometry_gate_rejected,
d5_cv_5v5_multicamera_formal_20260716_detect:0000:D5_Primary_4:0,0.0,INT-04,D5_Primary_4:0,D5_Primary_4:0:det:0004,G-102,G-105,349.97623040826477,1340.2907354204317,False,False,False,rejected,geometry_gate_rejected,
d5_cv_5v5_multicamera_formal_20260716_detect:0000:D5_Primary_4:0,0.0,INT-04,D5_Primary_4:0,D5_Primary_4:0:det:0001,G-103,G-102,39.96819179444473,450.9480240619395,False,False,False,rejected,geometry_gate_rejected,
d5_cv_5v5_multicamera_formal_20260716_detect:0000:D5_Primary_4:0,0.0,INT-04,D5_Primary_4:0,D5_Primary_4:0:det:0002,G-103,G-103,0.04825941615338987,15.66445480330808,True,True,False,candidate,stability_window_failed,True
d5_cv_5v5_multicamera_formal_20260716_detect:0000:D5_Primary_4:0,0.0,INT-04,D5_Primary_4:0,D5_Primary_4:0:det:0003,G-103,G-104,36.714692398295774,432.2047597722057,False,False,False,rejected,geometry_gate_rejected,
d5_cv_5v5_multicamera_formal_20260716_detect:0000:D5_Primary_4:0,0.0,INT-04,D5_Primary_4:0,D5_Primary_4:0:det:0004,G-103,G-105,151.45457409617362,877.8308476292982,False,False,False,rejected,geometry_gate_rejected,
d5_cv_5v5_multicamera_formal_20260716_detect:0000:D5_Primary_4:0,0.0,INT-04,D5_Primary_4:0,D5_Primary_4:0:det:0001,G-104,G-102,155.0238299574724,887.0971488108686,False,False,False,rejected,geometry_gate_rejected,
d5_cv_5v5_multicamera_formal_20260716_detect:0000:D5_Primary_4:0,0.0,INT-04,D5_Primary_4:0,D5_Primary_4:0:det:0002,G-104,G-103,39.84700309247918,449.7485625799162,False,False,False,rejected,geometry_gate_rejected,
