frame_index,timestamp,camera_id,camera_owner,camera_role,detector_backend,online_detection_count,offline_visible_target_count,offline_matched_detection_count
22,5.5,D5_Recon_1:0,D5_Recon_1,recon,airsim,4,4,4
23,5.75,D5_Primary_1:0,D5_Primary_1,primary,airsim,4,4,4
23,5.75,D5_Primary_2:0,D5_Primary_2,primary,airsim,5,5,5
23,5.75,D5_Primary_3:0,D5_Primary_3,primary,airsim,5,5,5
23,5.75,D5_Primary_4:0,D5_Primary_4,primary,airsim,4,4,4
23,5.75,D5_Primary_5:0,D5_Primary_5,primary,airsim,3,3,3
23,5.75,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
24,6.0,D5_Primary_1:0,D5_Primary_1,primary,airsim,4,4,4
24,6.0,D5_Primary_2:0,D5_Primary_2,primary,airsim,5,5,5
24,6.0,D5_Primary_3:0,D5_Primary_3,primary,airsim,5,5,5
24,6.0,D5_Primary_4:0,D5_Primary_4,primary,airsim,4,4,4
24,6.0,D5_Primary_5:0,D5_Primary_5,primary,airsim,3,3,3
24,6.0,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
25,6.25,D5_Primary_1:0,D5_Primary_1,primary,airsim,4,4,4
25,6.25,D5_Primary_2:0,D5_Primary_2,primary,airsim,5,5,5
25,6.25,D5_Primary_3:0,D5_Primary_3,primary,airsim,5,5,5
25,6.25,D5_Primary_4:0,D5_Primary_4,primary,airsim,4,4,4
25,6.25,D5_Primary_5:0,D5_Primary_5,primary,airsim,4,4,4
25,6.25,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
26,6.5,D5_Primary_1:0,D5_Primary_1,primary,airsim,4,4,4
26,6.5,D5_Primary_2:0,D5_Primary_2,primary,airsim,5,5,5
26,6.5,D5_Primary_3:0,D5_Primary_3,primary,airsim,5,5,5
26,6.5,D5_Primary_4:0,D5_Primary_4,primary,airsim,4,4,4
26,6.5,D5_Primary_5:0,D5_Primary_5,primary,airsim,4,4,4
26,6.5,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
27,6.75,D5_Primary_1:0,D5_Primary_1,primary,airsim,4,4,4
27,6.75,D5_Primary_2:0,D5_Primary_2,primary,airsim,5,5,5
27,6.75,D5_Primary_3:0,D5_Primary_3,primary,airsim,4,4,4
27,6.75,D5_Primary_4:0,D5_Primary_4,primary,airsim,4,4,4
27,6.75,D5_Primary_5:0,D5_Primary_5,primary,airsim,4,4,4
27,6.75,D5_Recon_1:0,D5_Recon_1,recon,airsim,2,2,2
28,7.0,D5_Primary_1:0,D5_Primary_1,primary,airsim,4,4,4
28,7.0,D5_Primary_2:0,D5_Primary_2,primary,airsim,5,5,5
28,7.0,D5_Primary_3:0,D5_Primary_3,primary,airsim,5,5,5
28,7.0,D5_Primary_4:0,D5_Primary_4,primary,airsim,5,5,5
28,7.0,D5_Primary_5:0,D5_Primary_5,primary,airsim,4,4,4
28,7.0,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
29,7.25,D5_Primary_1:0,D5_Primary_1,primary,airsim,4,4,4
29,7.25,D5_Primary_2:0,D5_Primary_2,primary,airsim,5,5,5
29,7.25,D5_Primary_3:0,D5_Primary_3,primary,airsim,4,4,4
29,7.25,D5_Primary_4:0,D5_Primary_4,primary,airsim,5,5,5
29,7.25,D5_Primary_5:0,D5_Primary_5,primary,airsim,4,4,4
29,7.25,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
30,7.5,D5_Primary_1:0,D5_Primary_1,primary,airsim,4,4,4
30,7.5,D5_Primary_2:0,D5_Primary_2,primary,airsim,5,5,5
30,7.5,D5_Primary_3:0,D5_Primary_3,primary,airsim,5,5,5
30,7.5,D5_Primary_4:0,D5_Primary_4,primary,airsim,5,5,5
30,7.5,D5_Primary_5:0,D5_Primary_5,primary,airsim,3,3,3
30,7.5,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
31,7.75,D5_Primary_1:0,D5_Primary_1,primary,airsim,3,3,3
31,7.75,D5_Primary_2:0,D5_Primary_2,primary,airsim,5,5,5
31,7.75,D5_Primary_3:0,D5_Primary_3,primary,airsim,5,5,5
31,7.75,D5_Primary_4:0,D5_Primary_4,primary,airsim,5,5,5
31,7.75,D5_Primary_5:0,D5_Primary_5,primary,airsim,4,4,4
31,7.75,D5_Recon_1:0,D5_Recon_1,recon,airsim,4,4,4
32,8.0,D5_Primary_1:0,D5_Primary_1,primary,airsim,4,4,4
32,8.0,D5_Primary_2:0,D5_Primary_2,primary,airsim,5,5,5
32,8.0,D5_Primary_3:0,D5_Primary_3,primary,airsim,5,5,5
32,8.0,D5_Primary_4:0,D5_Primary_4,primary,airsim,5,5,5
32,8.0,D5_Primary_5:0,D5_Primary_5,primary,airsim,4,4,4
32,8.0,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
33,8.25,D5_Primary_1:0,D5_Primary_1,primary,airsim,4,4,4
33,8.25,D5_Primary_2:0,D5_Primary_2,primary,airsim,5,5,5
33,8.25,D5_Primary_3:0,D5_Primary_3,primary,airsim,5,5,5
33,8.25,D5_Primary_4:0,D5_Primary_4,primary,airsim,5,5,5
33,8.25,D5_Primary_5:0,D5_Primary_5,primary,airsim,4,4,4
33,8.25,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
34,8.5,D5_Primary_1:0,D5_Primary_1,primary,airsim,4,4,4
34,8.5,D5_Primary_2:0,D5_Primary_2,primary,airsim,5,5,5
34,8.5,D5_Primary_3:0,D5_Primary_3,primary,airsim,5,5,5
34,8.5,D5_Primary_4:0,D5_Primary_4,primary,airsim,5,5,5
34,8.5,D5_Primary_5:0,D5_Primary_5,primary,airsim,4,4,4
34,8.5,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
35,8.75,D5_Primary_1:0,D5_Primary_1,primary,airsim,4,4,4
35,8.75,D5_Primary_2:0,D5_Primary_2,primary,airsim,5,5,5
35,8.75,D5_Primary_3:0,D5_Primary_3,primary,airsim,5,5,5
35,8.75,D5_Primary_4:0,D5_Primary_4,primary,airsim,5,5,5
35,8.75,D5_Primary_5:0,D5_Primary_5,primary,airsim,4,4,4
35,8.75,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
36,9.0,D5_Primary_1:0,D5_Primary_1,primary,airsim,3,3,3
36,9.0,D5_Primary_2:0,D5_Primary_2,primary,airsim,5,5,5
36,9.0,D5_Primary_3:0,D5_Primary_3,primary,airsim,5,5,5
36,9.0,D5_Primary_4:0,D5_Primary_4,primary,airsim,5,5,5
36,9.0,D5_Primary_5:0,D5_Primary_5,primary,airsim,4,4,4
36,9.0,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
37,9.25,D5_Primary_1:0,D5_Primary_1,primary,airsim,4,4,4
37,9.25,D5_Primary_2:0,D5_Primary_2,primary,airsim,5,5,5
37,9.25,D5_Primary_3:0,D5_Primary_3,primary,airsim,5,5,5
37,9.25,D5_Primary_4:0,D5_Primary_4,primary,airsim,5,5,5
37,9.25,D5_Primary_5:0,D5_Primary_5,primary,airsim,4,4,4
37,9.25,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
38,9.5,D5_Primary_1:0,D5_Primary_1,primary,airsim,4,4,4
38,9.5,D5_Primary_2:0,D5_Primary_2,primary,airsim,5,5,5
38,9.5,D5_Primary_3:0,D5_Primary_3,primary,airsim,5,5,5
38,9.5,D5_Primary_4:0,D5_Primary_4,primary,airsim,5,5,5
38,9.5,D5_Primary_5:0,D5_Primary_5,primary,airsim,4,4,4
38,9.5,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
39,9.75,D5_Primary_1:0,D5_Primary_1,primary,airsim,4,4,4
39,9.75,D5_Primary_2:0,D5_Primary_2,primary,airsim,5,5,5
39,9.75,D5_Primary_3:0,D5_Primary_3,primary,airsim,5,5,5
39,9.75,D5_Primary_4:0,D5_Primary_4,primary,airsim,5,5,5
39,9.75,D5_Primary_5:0,D5_Primary_5,primary,airsim,4,4,4
39,9.75,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
40,10.0,D5_Primary_1:0,D5_Primary_1,primary,airsim,5,5,5
40,10.0,D5_Primary_2:0,D5_Primary_2,primary,airsim,5,5,5
40,10.0,D5_Primary_3:0,D5_Primary_3,primary,airsim,5,5,5
40,10.0,D5_Primary_4:0,D5_Primary_4,primary,airsim,5,5,5
40,10.0,D5_Primary_5:0,D5_Primary_5,primary,airsim,4,4,4
40,10.0,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
41,10.25,D5_Primary_1:0,D5_Primary_1,primary,airsim,5,5,5
41,10.25,D5_Primary_2:0,D5_Primary_2,primary,airsim,5,5,5
41,10.25,D5_Primary_3:0,D5_Primary_3,primary,airsim,5,5,5
41,10.25,D5_Primary_4:0,D5_Primary_4,primary,airsim,5,5,5
41,10.25,D5_Primary_5:0,D5_Primary_5,primary,airsim,4,4,4
41,10.25,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
42,10.5,D5_Primary_1:0,D5_Primary_1,primary,airsim,5,5,5
42,10.5,D5_Primary_2:0,D5_Primary_2,primary,airsim,5,5,5
42,10.5,D5_Primary_3:0,D5_Primary_3,primary,airsim,5,5,5
42,10.5,D5_Primary_4:0,D5_Primary_4,primary,airsim,5,5,5
42,10.5,D5_Primary_5:0,D5_Primary_5,primary,airsim,4,4,4
42,10.5,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
43,10.75,D5_Primary_1:0,D5_Primary_1,primary,airsim,5,5,5
43,10.75,D5_Primary_2:0,D5_Primary_2,primary,airsim,4,4,4
43,10.75,D5_Primary_3:0,D5_Primary_3,primary,airsim,5,5,5
43,10.75,D5_Primary_4:0,D5_Primary_4,primary,airsim,5,5,5
43,10.75,D5_Primary_5:0,D5_Primary_5,primary,airsim,4,4,4
43,10.75,D5_Recon_1:0,D5_Recon_1,recon,airsim,5,5,5
44,11.0,D5_Primary_1:0,D5_Primary_1,primary,airsim,5,5,5
44,11.0,D5_Primary_2:0,D5_Primary_2,primary,airsim,5,5,5
